"nacionality","sex","age","sport","medal"
"ESP","M",47,"athletics","F"
"KOR","F",30,"fencing","F"
"CAN","M",24,"athletics","T"
"MDA","M",25,"taekwondo","F"
"NZL","M",26,"cycling","F"
"AUS","M",26,"triathlon","F"
"USA","M",23,"volleyball","T"
"AUS","M",25,"aquatics","F"
"ESP","F",28,"athletics","F"
"ETH","F",25,"athletics","F"
"ETH","M",19,"athletics","F"
"BRN","M",20,"athletics","F"
"IOA","M",24,"aquatics","F"
"USA","F",24,"athletics","F"
"USA","F",20,"aquatics","T"
"GBR","F",20,"rugby sevens","F"
"UZB","M",18,"wrestling","F"
"RSA","M",22,"football","F"
"NZL","F",27,"football","F"
"EGY","M",27,"volleyball","F"
"MAR","M",29,"athletics","F"
"QAT","M",19,"athletics","F"
"SUD","M",20,"athletics","F"
"EGY","M",28,"shooting","F"
"MAR","M",23,"athletics","F"
"ESP","M",25,"athletics","F"
"SUD","M",22,"aquatics","F"
"ALG","M",27,"football","F"
"ALG","M",30,"boxing","F"
"ALG","M",22,"football","F"
"ALG","M",30,"boxing","F"
"ALG","M",23,"football","F"
"MAR","M",54,"equestrian","F"
"EGY","M",28,"rowing","F"
"EGY","M",21,"wrestling","F"
"MAR","M",24,"athletics","F"
"ALG","M",24,"athletics","F"
"EGY","M",29,"boxing","F"
"ALG","M",20,"football","F"
"ALG","M",31,"judo","F"
"ALG","M",21,"cycling","F"
"ALG","M",22,"football","F"
"DEN","M",25,"athletics","F"
"NED","M",27,"athletics","F"
"DJI","M",20,"athletics","F"
"SEN","M",28,"aquatics","F"
"CMR","F",27,"volleyball","F"
"ITA","M",30,"athletics","F"
"NIG","M",22,"taekwondo","T"
"SWE","M",24,"football","F"
"GHA","M",23,"boxing","F"
"AFG","M",24,"athletics","F"
"IOA","M",26,"fencing","F"
"AZE","M",28,"boxing","F"
"KSA","M",19,"athletics","F"
"IOA","M",53,"shooting","T"
"BAN","M",27,"shooting","F"
"NGR","M",23,"football","T"
"UZB","M",35,"judo","F"
"IOA","M",30,"shooting","F"
"RUS","M",20,"wrestling","T"
"QAT","M",26,"handball","F"
"GHA","M",16,"aquatics","F"
"IND","M",34,"shooting","F"
"USA","F",27,"aquatics","F"
"HUN","F",26,"judo","F"
"KAZ","M",19,"boxing","F"
"BRN","M",23,"athletics","F"
"BRN","M",24,"athletics","F"
"BDI","M",27,"athletics","F"
"ERI","M",22,"athletics","F"
"QAT","M",20,"athletics","F"
"MAR","M",26,"boxing","F"
"BRN","M",31,"wrestling","F"
"POL","M",31,"badminton","F"
"HUN","M",32,"aquatics","F"
"GBR","M",30,"hockey","F"
"CAN","M",25,"hockey","F"
"GBR","M",23,"athletics","F"
"BRA","M",27,"hockey","F"
"POL","M",27,"athletics","F"
"SWE","M",22,"football","F"
"HUN","M",32,"modern pentathlon","F"
"GEO","M",27,"judo","F"
"HUN","M",38,"table tennis","F"
"GBR","M",22,"aquatics","T"
"CZE","M",25,"athletics","F"
"HUN","M",21,"aquatics","F"
"AUS","M",45,"shooting","F"
"SEY","M",20,"aquatics","F"
"POL","M",36,"handball","F"
"GBR","M",24,"cycling","F"
"CAN","M",34,"canoe","F"
"SEN","M",28,"wrestling","F"
"GAM","M",23,"athletics","F"
"LTU","M",27,"basketball","F"
"IRI","M",30,"volleyball","F"
"ESP","M",26,"athletics","F"
"IRI","M",23,"canoe","F"
"CZE","F",29,"shooting","F"
"CZE","F",22,"wrestling","F"
"ROU","F",28,"rowing","T"
"ROU","F",23,"athletics","F"
"NED","F",37,"equestrian","F"
"USA","F",25,"wrestling","F"
"ALG","M",22,"wrestling","F"
"BRA","F",30,"volleyball","F"
"EGY","M",23,"wrestling","F"
"KAZ","M",27,"boxing","T"
"BRA","M",44,"golf","F"
"IND","F",18,"golf","F"
"RUS","M",26,"boxing","F"
"SWE","M",19,"football","F"
"CUB","M",28,"archery","F"
"BRA","M",26,"aquatics","F"
"POL","M",26,"athletics","F"
"CUB","M",28,"athletics","F"
"ROU","M",36,"table tennis","F"
"POL","M",26,"badminton","F"
"CUB","M",18,"volleyball","F"
"POL","M",27,"weightlifting","F"
"ESP","M",29,"volleyball","F"
"SLO","M",21,"judo","F"
"BAH","M",32,"athletics","F"
"ITA","M",28,"volleyball","F"
"HUN","M",27,"rowing","F"
"CUB","M",26,"rowing","F"
"ARG","M",30,"handball","F"
"BRA","F",35,"athletics","F"
"BRA","F",35,"boxing","F"
"PUR","F",16,"table tennis","F"
"ESP","F",20,"archery","F"
"BRA","F",38,"basketball","F"
"FRA","M",25,"canoe","F"
"FRA","M",28,"handball","T"
"RWA","M",29,"cycling","F"
"USA","F",29,"rowing","F"
"TOG","F",17,"aquatics","F"
"NED","F",33,"rowing","F"
"MDV","F",23,"athletics","F"
"EGY","F",20,"shooting","F"
"TUN","F",22,"canoe","F"
"ESP","F",18,"aquatics","F"
"NED","F",25,"sailing","F"
"POL","F",22,"athletics","F"
"BRA","F",33,"volleyball","T"
"ISR","M",27,"athletics","F"
"ITA","F",22,"aquatics","F"
"NGR","F",27,"athletics","F"
"FRA","F",24,"athletics","F"
"LAT","F",28,"athletics","F"
"DEN","F",33,"equestrian","F"
"POL","F",31,"athletics","F"
"POL","F",33,"wrestling","F"
"POL","F",28,"triathlon","F"
"POL","F",26,"rowing","T"
"POL","F",35,"shooting","F"
"POL","F",27,"tennis","F"
"POL","F",27,"sailing","F"
"POL","F",30,"athletics","F"
"ARG","M",27,"hockey","T"
"ARG","M",29,"handball","F"
"ARG","F",23,"hockey","F"
"ARG","F",24,"hockey","F"
"JOR","M",20,"taekwondo","T"
"IOA","M",33,"shooting","F"
"MAS","M",24,"aquatics","F"
"LIB","M",27,"athletics","F"
"EGY","M",27,"volleyball","F"
"EGY","M",32,"volleyball","F"
"EGY","M",20,"judo","F"
"EGY","M",28,"volleyball","F"
"EGY","M",20,"aquatics","F"
"SUD","M",23,"athletics","F"
"LBA","M",21,"aquatics","F"
"QAT","M",20,"athletics","F"
"EGY","M",35,"shooting","F"
"EGY","M",25,"volleyball","F"
"EGY","M",38,"archery","F"
"EGY","M",32,"handball","F"
"PLE","M",25,"aquatics","F"
"NIG","M",28,"judo","F"
"IRQ","M",24,"football","F"
"EGY","M",30,"shooting","F"
"TUN","M",27,"aquatics","F"
"EGY","M",20,"shooting","F"
"EGY","M",28,"weightlifting","F"
"EGY","M",27,"wrestling","F"
"EGY","M",25,"sailing","F"
"EGY","M",30,"weightlifting","F"
"EGY","M",37,"shooting","F"
"TUR","M",25,"table tennis","F"
"TUR","M",23,"cycling","F"
"KOR","F",26,"cycling","F"
"VEN","F",31,"athletics","F"
"JPN","F",28,"table tennis","T"
"JPN","F",36,"sailing","F"
"JPN","F",33,"triathlon","F"
"TPE","F",21,"shooting","F"
"KGZ","M",30,"wrestling","F"
"CHN","M",31,"sailing","F"
"SEN","F",30,"basketball","F"
"HUN","F",40,"fencing","F"
"MEX","F",28,"archery","F"
"RUS","F",30,"fencing","F"
"AUS","M",26,"aquatics","F"
"JPN","F",25,"aquatics","T"
"GRE","F",24,"rowing","F"
"GRE","F",19,"fencing","F"
"JPN","F",23,"aquatics","T"
"JPN","F",17,"gymnastics","F"
"IRL","F",34,"triathlon","F"
"ARG","F",20,"gymnastics","F"
"NED","F",25,"handball","F"
"CHN","M",23,"basketball","F"
"NZL","F",21,"canoe","F"
"GBR","F",23,"aquatics","F"
"ESP","F",22,"rowing","F"
"ESP","F",22,"handball","F"
"ESP","F",38,"triathlon","F"
